Code INSEE;Commune;Age;Moins de 2 années;De 2 à 4 années;De 5 à 9 années;De 10 à 19 années;De 20 à 29 années;De 30 à 39 années;De 40 à 49 années;De 50 à 59 années;De 60 à 69 années;70 années ou plus;geolocalisation
35334;Thorigné-Fouillard;20 à 24 ans;47;20;6;0;2;0;0;0;0;0;48.1566082899, -1.58409867633
35334;Thorigné-Fouillard;55 à 64 ans;16;39;66;165;181;101;7;1;0;0;48.1566082899, -1.58409867633
35351;Le Verger;40 à 54 ans;14;18;49;79;36;3;5;2;0;0;48.0658260742, -1.93692739781
35351;Le Verger;55 à 64 ans;5;8;13;19;22;20;5;1;1;0;48.0658260742, -1.93692739781
35352;Vern-sur-Seiche;15 à 19 ans;5;2;3;3;0;0;0;0;0;0;48.0525245014, -1.60521106164
35353;Vezin-le-Coquet;15 à 19 ans;10;0;0;2;0;0;0;0;0;0;48.1171829255, -1.74956473355
35353;Vezin-le-Coquet;25 à 39 ans;143;139;54;9;0;2;2;0;0;0;48.1171829255, -1.74956473355
35353;Vezin-le-Coquet;55 à 64 ans;10;17;25;82;127;79;2;0;0;0;48.1171829255, -1.74956473355
35353;Vezin-le-Coquet;65 à 79 ans;4;13;30;55;69;141;62;2;2;2;48.1171829255, -1.74956473355
35353;Vezin-le-Coquet;80 ans ou plus;2;2;9;9;18;31;29;12;3;2;48.1171829255, -1.74956473355
35001;Acigné;25 à 39 ans;185;282;138;26;1;2;0;0;0;0;48.1464008617, -1.51879762112
35001;Acigné;55 à 64 ans;15;30;45;90;140;143;4;2;2;0;48.1464008617, -1.51879762112
35022;Bécherel;65 à 79 ans;1;4;8;6;4;8;7;2;0;0;48.2965087434, -1.9428236566
35024;Betton;15 à 19 ans;4;2;1;4;0;0;0;0;0;0;48.1812360423, -1.64589552684
35024;Betton;25 à 39 ans;294;552;210;31;3;2;0;0;0;0;48.1812360423, -1.64589552684
35032;Bourgbarré;20 à 24 ans;26;15;1;0;0;0;0;0;0;0;47.988587599, -1.62222742311
35032;Bourgbarré;40 à 54 ans;28;71;122;184;62;3;6;0;0;0;47.988587599, -1.62222742311
35032;Bourgbarré;80 ans ou plus;0;5;2;8;12;5;8;3;1;1;47.988587599, -1.62222742311
35039;Brécé;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.1107701278, -1.48991638652
35039;Brécé;15 à 19 ans;1;0;1;0;0;0;0;0;0;0;48.1107701278, -1.48991638652
35039;Brécé;55 à 64 ans;5;14;18;20;32;38;2;0;3;0;48.1107701278, -1.48991638652
35047;Bruz;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.0261755313, -1.74817480915
35047;Bruz;55 à 64 ans;57;133;171;310;189;107;4;4;4;0;48.0261755313, -1.74817480915
35051;Cesson-Sévigné;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.1202268032, -1.59714447272
35051;Cesson-Sévigné;20 à 24 ans;563;272;24;20;5;0;0;0;0;0;48.1202268032, -1.59714447272
35051;Cesson-Sévigné;25 à 39 ans;476;789;278;33;1;5;0;0;0;0;48.1202268032, -1.59714447272
35051;Cesson-Sévigné;55 à 64 ans;29;110;104;320;426;200;9;5;0;0;48.1202268032, -1.59714447272
35055;Chantepie;80 ans ou plus;15;24;23;35;24;47;28;6;1;4;48.0817134724, -1.6038253094
