Geo Point;Geo Shape;gml_id;objectid;circ_apaisee;type_agt_velo;sens;jalonnement;c_insee;annee_mes;etat
48.1252262342, -1.63367951603;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.633554421905949, 48.12507296379366], [-1.633804610147042, 48.12537950468804]]]}";circ_apais_amgt_velo.755;755;zone 30;;;;35238;;
48.1355333471, -1.67089041629;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.670862772928785, 48.13601856673721], [-1.670918059655398, 48.13504812746855]]]}";circ_apais_amgt_velo.762;762;zone 30;;;;35238;;
48.0969318987, -1.64570642382;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.645609407144059, 48.0970375486332], [-1.645803440491623, 48.09682624873003]]]}";circ_apais_amgt_velo.767;767;;;;;35238;;
48.1273738633, -1.63381323761;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.633746230716669, 48.12747164017907], [-1.633824597682979, 48.12740766281175], [-1.633811341344703, 48.12732007510955], [-1.63387694197043, 48.12727877760568]]]}";circ_apais_amgt_velo.772;772;zone de rencontre;;;;35238;;
48.0848640354, -1.6475125391;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.647562255907226, 48.0849829079841], [-1.647519369379898, 48.08489906613318], [-1.647473365454018, 48.0847409761062]]]}";circ_apais_amgt_velo.773;773;zone 30;;;;35238;;
48.1001678508, -1.67720362056;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.678335209897973, 48.10009151056645], [-1.676072031228826, 48.100244191030654]]]}";circ_apais_amgt_velo.688;688;zone 30;;;;35238;;
48.0883495972, -1.64638632964;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.646988517000689, 48.08808612730216], [-1.646861160611514, 48.08827130778913], [-1.646793649218464, 48.088357925755986], [-1.646730132192214, 48.08842618083119], [-1.646666515682633, 48.08847840107486], [-1.646661457212338, 48.088481861105166], [-1.646606248612035, 48.08851375684343], [-1.646544418826058, 48.08853963176269], [-1.646477418167056, 48.08855887937725], [-1.646406818630588, 48.088571049574114], [-1.646334272918577, 48.088575856577776], [-1.64626148166375, 48.08857318838526], [-1.646190151643431, 48.08856310575225], [-1.646121955818379, 48.08854584651157], [-1.646058490657454, 48.08852181468288], [-1.646012124540945, 48.08849808367497], [-1.646003286016902, 48.08849330494158], [-1.645964722327414, 48.088466640042235], [-1.645934957228857, 48.08843531962297], [-1.645915213104979, 48.088400626939844], [-1.645906296882677, 48.08836398098043], [-1.64590857232395, 48.08832688261857], [-1.645921947590307, 48.08829085114172], [-1.645945876207432, 48.08825736023729], [-1.645979374917685, 48.0882277823075], [-1.645979651640791, 48.0882275846026], [-1.646004617511166, 48.08821983007476], [-1.646073357954844, 48.08820413464008], [-1.646144868923674, 48.088195653653365], [-1.646217473778953, 48.08819458554364], [-1.64628947223997, 48.08820095579593], [-1.64630609543471, 48.08820351586554], [-1.646371800076812, 48.088196239003906], [-1.646465433492113, 48.08817953787108], [-1.646555613786459, 48.0881557948432], [-1.646641166425442, 48.088125318719584], [-1.646648950910159, 48.088122112503356]]]}";circ_apais_amgt_velo.689;689;zone de rencontre;;;;35238;;
48.1294965804, -1.63063956901;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.628857439512617, 48.12715508918724], [-1.629051314432878, 48.12752471048142], [-1.629184373381392, 48.1277900341868], [-1.629316229444339, 48.12801150675826], [-1.62946490289831, 48.12824422667067], [-1.629654545109535, 48.12854646408998], [-1.629786281922337, 48.128744024811006], [-1.629970114781981, 48.12898033878353], [-1.630189671528995, 48.12922219754142], [-1.630425218260522, 48.12945873227434], [-1.630719110396286, 48.12970539080831], [-1.631096041016602, 48.13007219456473], [-1.631528787579412, 48.13045455259853], [-1.631986867983402, 48.13087178465979], [-1.632322093932073, 48.131175845510285], [-1.632659873760621, 48.13152689546708], [-1.632705025765394, 48.131613292338365]]]}";circ_apais_amgt_velo.1564;1564;;piste cyclable;sens unique;non;35238;1990;
48.1014577697, -1.64277201985;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.642946240676254, 48.10144001120641], [-1.642597799014372, 48.101475528205754]]]}";circ_apais_amgt_velo.692;692;zone 30;;;;35238;;
48.1092440389, -1.66833634636;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.670780198851831, 48.109776787942884], [-1.670633506064801, 48.10966817863257], [-1.67050299921877, 48.109612376647064], [-1.670245434850574, 48.10953882128916], [-1.669805374134903, 48.10946504011761], [-1.669178686488381, 48.10934537135107], [-1.668829532014297, 48.10926789488414], [-1.668331973105818, 48.10918880558271], [-1.667859896677363, 48.10913923126394], [-1.667318955242061, 48.10908481218232], [-1.666582781253278, 48.109015400547186], [-1.666368284232401, 48.10899269856033], [-1.666341405054142, 48.10898261622441], [-1.666301315830073, 48.108966312006636], [-1.6661917637867, 48.10895553005572], [-1.666061669532306, 48.10894224771311], [-1.665837232168083, 48.10891675478249]]]}";circ_apais_amgt_velo.696;696;aire piétonne;;;;35238;;
