niveau géographique;code géographique;libellé géographique;âge regroupé (4 classes d'âges);indicateur de nationalité condensé (Français/Étranger);sexe;NB;population;inter_codegeo1;EPCI;LIBEPCI;NOM_DEPT;NOM_REG;CODE_DEPT;CODE_REG;NATURE_EPCI
COM;35208;Orgères;55 ans ou plus;Étrangers;hommes;3.9894381826;4;35208;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35216;Parthenay-de-Bretagne;moins de 15 à 24 ans ans;Français;hommes;237.19128329;237;35216;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35216;Parthenay-de-Bretagne;25 à 54 ans;Français;femmes;358.65617433;359;35216;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35120;Gévezé;55 ans ou plus;Français;femmes;507.0;507;35120;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35022;Bécherel;55 ans ou plus;Étrangers;femmes;0.0;0;35022;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35032;Bourgbarré;25 à 54 ans;Étrangers;hommes;19.130662105;19;35032;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35039;Brécé;15 à 24 ans;Français;hommes;130.0;130;35039;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35051;Cesson-Sévigné;15 à 24 ans;Étrangers;femmes;57.849286626;58;35051;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35055;Chantepie;moins de 15 à 24 ans ans;Français;femmes;967.29228032;967;35055;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35055;Chantepie;55 ans ou plus;Français;femmes;1522.9375309;1523;35055;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35059;La Chapelle-des-Fougeretz;moins de 15 à 24 ans ans;Étrangers;femmes;25.597533123;26;35059;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35065;La Chapelle-Thouarault;15 à 24 ans;Français;hommes;123.13478261;123;35065;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35076;Chavagne;55 ans ou plus;Étrangers;femmes;0.0;0;35076;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35081;Clayes;15 à 24 ans;Français;hommes;54.454767726;54;35081;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35081;Clayes;15 à 24 ans;Étrangers;hommes;1.8777506112;2;35081;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35081;Clayes;25 à 54 ans;Français;hommes;151.15892421;151;35081;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35088;Corps-Nuds;moins de 15 à 24 ans ans;Étrangers;femmes;5.053297918;5;35088;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35210;Pacé;moins de 15 à 24 ans ans;Français;hommes;1215.3893454;1215;35210;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35334;Thorigné-Fouillard;moins de 15 à 24 ans ans;Étrangers;femmes;15.0;15;35334;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35351;Le Verger;25 à 54 ans;Français;hommes;316.43113369;316;35351;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35352;Vern-sur-Seiche;55 ans ou plus;Français;hommes;1096.8235813;1097;35352;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35353;Vezin-le-Coquet;15 à 24 ans;Étrangers;femmes;9.1248961165;9;35353;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35245;Romillé;moins de 15 à 24 ans ans;Étrangers;hommes;4.0646188906;4;35245;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35250;Saint-Armel;25 à 54 ans;Français;femmes;394.0;394;35250;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35250;Saint-Armel;55 ans ou plus;Français;hommes;196.0;196;35250;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35315;Saint-Sulpice-la-Forêt;15 à 24 ans;Français;femmes;60.195852535;60;35315;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35334;Thorigné-Fouillard;25 à 54 ans;Étrangers;femmes;39.0;39;35334;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35352;Vern-sur-Seiche;55 ans ou plus;Étrangers;femmes;8.0505365178;8;35352;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35139;Laillé;55 ans ou plus;Français;hommes;553.86253422;554;35139;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35180;Miniac-sous-Bécherel;55 ans ou plus;Étrangers;hommes;1.001344086;1;35180;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35206;Noyal-Châtillon-sur-Seiche;55 ans ou plus;Français;femmes;1040.6865021;1041;35206;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35208;Orgères;55 ans ou plus;Étrangers;femmes;1.9690675019;2;35208;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35216;Parthenay-de-Bretagne;15 à 24 ans;Étrangers;femmes;3.8256658596;4;35216;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35047;Bruz;moins de 15 à 24 ans ans;Français;hommes;1556.8563005;1557;35047;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35047;Bruz;25 à 54 ans;Français;femmes;3333.8468628;3334;35047;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35051;Cesson-Sévigné;15 à 24 ans;Français;hommes;1755.5140791;1756;35051;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35051;Cesson-Sévigné;25 à 54 ans;Étrangers;hommes;155.23538581;155;35051;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35055;Chantepie;25 à 54 ans;Français;femmes;2234.9663932;2235;35055;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35055;Chantepie;25 à 54 ans;Étrangers;hommes;89.42749827;89;35055;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35065;La Chapelle-Thouarault;moins de 15 à 24 ans ans;Français;femmes;180.33913043;180;35065;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35076;Chavagne;moins de 15 à 24 ans ans;Étrangers;hommes;4.8749546383;5;35076;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35081;Clayes;25 à 54 ans;Étrangers;hommes;2.8166259169;3;35081;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35088;Corps-Nuds;moins de 15 à 24 ans ans;Français;hommes;351.43808693;351;35088;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35245;Romillé;15 à 24 ans;Étrangers;femmes;3.0802734083;3;35245;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35250;Saint-Armel;15 à 24 ans;Étrangers;hommes;0.0;0;35250;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
COM;35266;Saint-Erblon;25 à 54 ans;Français;femmes;572.47308093;572;35266;243500139;CA Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE;35;53;CA
