ap_timeo;ap_datemaj;equip_mobilier;equip_banc;equip_eclairage;equip_poubelle;access_pmr;access_li_ok;access_li_nok;Commune (nom);Coordonnées;Commune (code INSEE);Identifiant
2858;2015-02-27Z;Poteau;NON;NON;NON;OUI;36;;Saint-Grégoire;48.138445, -1.672022;35278;2858
2859;2016-11-16Z;Poteau;NON;NON;NON;OUI;36;;Saint-Grégoire;48.148705, -1.697351;35278;2859
2905;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;72;;Chartres-de-Bretagne;48.042325, -1.712032;35066;2905
2913;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;72 172;;Chartres-de-Bretagne;48.034611, -1.69941;35066;2913
2916;2014-08-12Z;Abri simple;OUI;OUI;OUI;NON;;91 72;Chartres-de-Bretagne;48.04169, -1.702632;35066;2916
2918;2014-08-12Z;Poteau;NON;NON;NON;OUI;72 91;;Chartres-de-Bretagne;48.041976, -1.711045;35066;2918
2920;2014-08-12Z;Poteau;NON;NON;NON;OUI;72 91;;Chartres-de-Bretagne;48.041536, -1.702871;35066;2920
2945;2017-03-03Z;Poteau;NON;NON;NON;NON;;72;Chartres-de-Bretagne;48.028976, -1.707942;35066;2945
3014;2014-08-12Z;Poteau;NON;NON;NON;OUI;11;;Chantepie;48.098087, -1.622908;35055;3014
3016;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;13;;Chantepie;48.093514, -1.607562;35055;3016
3021;2014-08-12Z;Abri simple;OUI;NON;OUI;OUI;13;;Chantepie;48.0846, -1.627505;35055;3021
3028;2016-03-24Z;Abri simple;OUI;OUI;OUI;OUI;34 C1;;Chantepie;48.085464, -1.604031;35055;3028
3036;2018-04-04Z;Poteau;NON;NON;NON;OUI;34;;Chantepie;48.092722, -1.617959;35055;3036
3037;2017-01-30Z;Abri simple;OUI;OUI;OUI;OUI;C1 34 13;;Chantepie;48.087406, -1.616535;35055;3037
3040;2016-07-08Z;Poteau;NON;NON;NON;;;;Chantepie;48.069593, -1.569788;35055;3040
3104;2012-01-13Z;Abri simple;OUI;OUI;OUI;OUI;52;;Pacé;48.148463, -1.784791;35210;3104
