Geo Point;Geo Shape;objectid;id_voie;nom_voie;code_insee;nom_commune;nombre_support;code_modele;libelle_modele;date_creation;gestionnaire;commentaire
48.1150301921, -1.60244667135;"{""type"": ""Point"", ""coordinates"": [-1.602446671347712, 48.115030192057965]}";2956;7332;Rue des Vieux Ponts;35051;Cesson-Sévigné;4;;SV 14;2016-12-31T23:00:00Z;Rennes Métropole;entrée Parc à gauche du n°1
48.1109112578, -1.48179981178;"{""type"": ""Point"", ""coordinates"": [-1.481799811781357, 48.11091125777189]}";4203;7076;Place de l'Eglise;35039;Brécé;2;;SV 38;2017-12-31T23:00:00Z;Rennes Métropole;n°4
48.0882263758, -1.61627571941;"{""type"": ""Point"", ""coordinates"": [-1.616275719413866, 48.08822637579109]}";5018;236;Rue du Parc;35055;Chantepie;2;;SV 11 + SV 46;2007-12-31T23:00:00Z;Rennes Métropole;n°4
48.0411706478, -1.59919801498;"{""type"": ""Point"", ""coordinates"": [-1.59919801498134, 48.04117064777278]}";5020;861;Rue Guillotin de Corson;35352;Vern-sur-Seiche;4;;SV;2017-12-31T23:00:00Z;Rennes Métropole;face n°8
48.0890859625, -1.6720710827;"{""type"": ""Point"", ""coordinates"": [-1.672071082699352, 48.08908596251937]}";5021;9244;Rue de Châtillon;35238;Rennes;4;;SV 23;2018-09-30T22:00:00Z;Privé;face n°190
48.0905601393, -1.67947040941;"{""type"": ""Point"", ""coordinates"": [-1.679470409409969, 48.09056013928214]}";187;9796;Square des Hautes Chalais;35238;Rennes;4;;S 23;;;n°14 - privé
48.1184501992, -1.68240075259;"{""type"": ""Point"", ""coordinates"": [-1.682400752590716, 48.1184501991502]}";152;8918;Rue de Dinan;35238;Rennes;4;;S 23;1997-12-31T23:00:00Z;Rennes Métropole;n°66 - pas de SV
48.1828780968, -1.64636348926;"{""type"": ""Point"", ""coordinates"": [-1.646363489263751, 48.18287809678015]}";1678;5982;Rue du Trégor;35024;Betton;6;;;2013-12-31T23:00:00Z;Rennes Métropole;devant le cinéma
48.1834427534, -1.64773558496;"{""type"": ""Point"", ""coordinates"": [-1.647735584959804, 48.183442753388654]}";1681;5871;Rue de la Côte d'Emeraude;35024;Betton;2;;;2007-12-31T23:00:00Z;Rennes Métropole;n°2 droite sous l'escalier
48.1286724835, -1.69436813394;"{""type"": ""Point"", ""coordinates"": [-1.694368133937264, 48.12867248345702]}";1684;9828;Avenue de Cucillé;35238;Rennes;6;;S 23;2013-12-31T23:00:00Z;Rennes Métropole;n°1 Archives départementales
